# Modern-en paragraphs whose displayed text differs from what the live site serves. Cached narration (Grok chunks, legacy per-paragraph audio,
# seek maps) built from the old text is stale for these. Final coordinates; live = main edition 7816d1eb (coordinate before the completeness regroup).
# changed_since_completeness = yes if this accessibility pass changed the paragraph (use this column alone if the completeness repair has already shipped).
final_coordinate	live_coordinate	reason	changed_since_completeness	live_sha256	final_sha256
7.67	7.67	text changed (accessibility)	yes	6419120aa44e3158030d78982eac0d24398002ac234e34ce4b5e66a2447b0c8e	4664087b76f71bc1baec7780b0a21d0c00b8e1f82c53ef00080e6f2d79795fa2
7.68	7.68	text changed (accessibility)	yes	d417d2fe76580d9e2f0848ca426d91388a9bfc1bcaae5c81df42e2f825113b8e	169e26a9bfc5d9842b93338aa19eef4b06c400fa6450979b87250769b79df56d
8.0	7.69	text changed (accessibility)	yes	413004f16fc89427cd42f36d29f572c445f9597004c04d81a9529e6d0124501f	a9470cf9998d86fac236f109a297f574eac4435ee9e0fd65f8e40c33c2ebb3c0
8.1	7.70	text changed (accessibility)	yes	6848d159546e79468bf0fc021849f9b828f6d93fcb7c986bec516c27bc86de6d	30c4f604b5763bb00c3cfcf01bd6dee053168096401d841d8f0c17bedd52a85d
8.2	7.71	text changed (accessibility)	yes	94ba300c9a250af85d310b2230caaea93eed2f0de86ce9ca9e485d4add004f56	dab32a220a2626997c807a7acbdcbe915be168f8d8eb883010174e6942e48ed3
8.3	7.72	text changed (accessibility)	yes	05cda0c63ac8365aaf61841fb668660c3c8dc5f7b1f6ae1159eb9d152742e48f	110a6d0c6f7e1a005b9864676253b837174f4d0e40a284c64728fb8900554719
8.4	7.73	text changed (accessibility)	yes	1b6e2fc3483ccd4dcced98f90be46ec59eb8122aebb68ae5b7133b0ecf6b6ea2	a546bbf82583b6e62b6ca28301fc59806391c9a7044774755ea4a87e218c7e5a
8.5	7.74	text changed (accessibility)	yes	a0266afd498c399c6c2e444860badc1cfc389e6863639d026e17fa8b5b8b41c1	59ccc7a9ef04b1d83649f5833bae49ed7857601da63ac4f82923e426d22cbf3d
8.6	7.75	text changed (accessibility)	yes	1a46be71fa9d29b2482cfc42e7543bb614435213f2fd8ed032c4517f34bf75f2	0e6b84a311711b9c5b006a405da679dd0450179fa2ee522526064f024a473015
8.8	7.77	text changed (accessibility)	yes	7436d5d7a8ad3d84a947a980291441194e9730df4c11c70ff409829f7511647d	41d17220a839988575681c59e9f738fb07e9d2b0feecb1b7913812cc88c5913d
8.10	7.79	text changed (accessibility)	yes	76687515c3be5b8824219055dab20266dee7c3561cf76a00210bb52069bac770	aac75cbae7df00b196abb159e3802d397a9d84ddc6434fd47cf8f3ec6b45b7da
8.11	7.80	text changed (accessibility)	yes	c9e1b0f0c14f4caf5035f29ab08d428bac86d821dc17b058695d9484073e20ed	b90c3895b5bb26c0498e76710d9412c51c70f47cc7dc02760e3a34452c614206
8.13	7.82	text changed (accessibility)	yes	9020e44395244fb9620a5a8a3634f24ce71c2c0d2bc21f688d6dfd9f79bcfc32	3358c65ccac23f40e852dcc47dcdfdf19b82d2a84d7a42050ca12c3b82da1519
8.14	7.83	text changed (accessibility)	yes	4721ad983cacf00ab192c04c55e2e78141675e96a0b77bedb2e16045e789af37	f198d6ee2a6309eb28ca514061c74e59e8f74d8d9a4429b11125fa60072eaae9
8.16	7.85	text changed (accessibility)	yes	e4432dd75bd9fca47ef863c53c09c9a56ade4112b51472c3469ed0c2a6899ff8	79247bf49b40e13ffb4027c64ceb688945a2528f77f89e9464f130d8335af5a2
8.17	7.86	text changed (accessibility)	yes	8a1773f9243702c2f1d4cd85848c41bbb5ba75005e3b60313e830e8ed633afc9	8a72486afb688a5d083d9bb40fc367c88390846cd97608e672402376e4b6540b
8.19	7.88	text changed (accessibility)	yes	0aa4c58a30622cf17f23d25bb439d79df676bc5de7c4c54105ec9f14f097f8ac	1c9a42bf4360149766a0ac63f2427cb8492fb0d97ed604d6c956004cacb6f97b
8.22	7.91	text changed (accessibility)	yes	2eafdf7a8331a1e209a4debb407b943d7f5608896db8a350fb2b29e7aec9f7f9	9f296a4aa15c259e963ae42147a72215166dbb4ba4e35cacce03f39582fb3212
8.23	7.92	text changed (accessibility)	yes	cd5a3cd30ea24270a3fb0db4841f3641a4bd45301671a7b9ab013e3ec4531667	76293ce2edd39686fc89cdf021b5ab5924baa3b22aaafc9e2262e712d9236e5f
8.24	7.93	text changed (accessibility)	yes	643663ee13ea57597f0e7afe9bbb343e473c659059d42f7c4d33fd35ccfcc45a	a19e4ef73ccb79d8d29f7d6324cc24d772e9fe72331a40482e36f2fba29abdc4
8.25	7.94	text changed (accessibility)	yes	2101cc4dca8e5018cee15b7305b1972f0e31f50629ca388d979efcef69841e8b	1b703d7a933176c73b6e4c500b9b2d09d97e1cbf15ff568ea0e5adfb92ac8bfe
8.26	7.95	text changed (accessibility)	yes	24663d2d116df340758c286defc1818a09585aa60aa187a3929194d6bfa4245e	e5360c0fa411448030a694a155898b4910e04f124fb1b4e77681b51ba858843b
8.27	7.96	text changed (accessibility)	yes	96c283ba1cd713a9db8d76b5b18e3cb3068ab6f4249f72e085e5ef5ef7a9db72	854192e191e31bc48cb0eff5a3fbb69cd8bd45b24cf7f28507322d7a7ecb930d
8.28	7.97	text changed (accessibility)	yes	346311c55c5c9571ad2093ed6f33007326b2828b5f59e7f191a4f2e00c5c8764	161c9b28fcc94de33f263ac9fd7778f21e62a38f7f3e06ed75aa467a3830b9f9
8.29	7.98	text changed (accessibility)	yes	bd6f2fb7e0c0bc97b3ddba93f26bd4d65bb4442d658163528bf5bc112687c84f	a1803ea48bfe916b3a799d48cd1063eaa310d3c93bbf59561f87a68af660b2b4
8.30	7.99	text changed (accessibility)	yes	063c87521f298a776889d38e2832788d97a29cf65fa4747935bc6b9d71ae21bc	2fa497f53790f46390c105b2da85e30dc591d4c29bf3eeeffedc40ed5940bdcc
8.31	7.100	text changed (accessibility)	yes	40f21de3249c5784e3ddd1f4d9e623bb082557274e1385d71f6dbac883347bc9	e673e6e98ed9dc9c1a2370da2322b64aaf387cb169043b65a77625d3aad35763
8.32	7.101	text changed (accessibility)	yes	4a91a7d76f448dca3b2ce04f3436338f49fe3264e7fbe623ec0d67c599eb18e6	371024ba762faa65e59a13568bf895795fa4ba56decba480f962c5cf794b7157
8.33	7.102	text changed (accessibility)	yes	fb07a09f23f0d2f58d5ef2e86f5184f490c4729f50ebaa3df009b2966d11bc95	99f4c2d6cdf796cfc55d62e208f6b70e1e01f7eeaf9d47fe1662f85ead9ad031
8.35	7.104	text changed (accessibility)	yes	3da3b407510e3ccfd0aaafacd20479e8ab07e7dc069f4a8010182c986c3afb16	5ec87cf89148900fd04c6f83b6c12311889b6c7e52e63a45009afadc49922300
8.36	7.105	text changed (accessibility)	yes	e5f5dd7c0ed45be5184595a6449713765cd3f4d35bc24dfc84ac4c01dc406f9e	66ae7a9a67a807e9ee4f0627a4bc34adad30bca25f632ed0e90c983a206b814d
8.37	7.106	text changed (accessibility)	yes	40da0fd6a954f5165770488cf6638ef182b58f0225dc78132de63232bfe7a238	3c79dae3c4c57f0da94a8e3f15c03a6bfa2641cd4049d71d780318ec6904634f
8.38	7.107	text changed (accessibility)	yes	749d351a2576109e35d74bc95f240ab596c40bdb5b5696ec6a9e1f3037058e12	4b5150c0b545a40a032f4c470b413f8d55f3ea83cea9f78d0090384b3cacac8c
8.39	7.108	text changed (accessibility)	yes	714debf56b7ff4803f2253208586d96f23b47d79a62eef2652f745320a4ac5e9	db7606d2319f40a436b13626dec1f8e01c801983d67210c4357d95c36038b721
8.40	7.109	text changed (accessibility)	yes	31dff27c6c9fdb7b15c40ade217a1b8ecc8cc3720cabb0375c1a227224469788	2f0adabe04344cf5559fd7b606d66a0e79d6ec7a5d5e171b2d67a01fd5ce7dea
8.41	7.110	text changed (accessibility)	yes	c36b22d33259aad4efa1517a8e7ba86d24ca415262594282d67b5f609124add2	9bd23d5d4421f217c9aeb299832dab5a2bf71501a5e0bd02874ac1ea3ab2b6c6
8.42	7.111	text changed (accessibility)	yes	07059140d8c776e6d50b4afb1918fac5648aea7e3418e49028272b2cdfaee2ae	82183cbedb108ca5fe3a836a005867fcb4a3f6d55b143f65ad1838985a595448
8.43	7.112	text changed (accessibility)	yes	c899dd034453c91c18e61298682f0d3b41072522a2d4288eafc9a2f096828cad	efa575d1c9c8a8541c4d74128ea67ccf1b043d5b88f698c3e7afaf200c97f5f6
8.44	7.113	text changed (accessibility)	yes	dc32b38e1f473f528463140516c8aacc190ac1c4350fe722cbb94935f12ea9d2	46a4498559ffd8a1e46d0e5c5223c0bb35f18b7e048816868f306c6d886e91f8
8.45	7.114	text changed (accessibility)	yes	173c77fecd1121518cd430a6ce8f227ccca697ff2669bbda2d90053212073740	97a32df143561cffc777b53bd0d3a5cf10e490c88341c2204eccd780614236d3
